Call No,Date,Time,Equipment,Problem Description,Attended By,Time to Resolve (hrs),Status,Remarks,shift,sheet_name,machine
D07-014,2025-05-21,07:30,Pump-1,Pneumatic pressure drop in actuator,R. Sharma,2.7,Open,Temporary fix applied,Day,Spiral-Mill-1,Spiral-Mill-1
D07-015,2025-05-07,13:45,Motor-A,Conveyor belt slip / misalignment,R. Sharma,2.4,Open,Resolved by operator adjustment,Day,Spiral-Mill-1,Spiral-Mill-1
N07-001,2025-05-28,20:15,Cylinder-Main,PLC fault code F-204 — sensor error,R. Sharma,2.3,Closed,,Night,Spiral-Mill-1,Spiral-Mill-1
N07-002,2025-05-29,18:45,Motor-A,Chain elongation on drive chain,B. Reddy,4.8,Closed,Preventive maintenance scheduled,Night,Spiral-Mill-1,Spiral-Mill-1
N07-003,2025-05-18,18:30,Pump-2,Water leakage in cooling system,D. Mehta,1.9,Closed,Escalated to OEM,Night,Spiral-Mill-1,Spiral-Mill-1
N07-004,2025-05-29,22:00,Gearbox,Drive belt worn — replacement needed,R. Sharma,5.3,Open,Preventive maintenance scheduled,Night,Spiral-Mill-1,Spiral-Mill-1
N07-005,2025-05-08,18:30,Motor-B,Control panel display blank,A. Patel,6.0,Closed,Escalated to OEM,Night,Spiral-Mill-1,Spiral-Mill-1
N07-006,2025-05-27,18:30,Conveyor-Drive,Chain elongation on drive chain,M. Singh,6.7,Closed,,Night,Spiral-Mill-1,Spiral-Mill-1
N07-007,2025-05-11,19:15,Motor-B,Electrical trip — overload relay,V. Joshi,0.8,Closed,Root cause: wear and tear,Night,Spiral-Mill-1,Spiral-Mill-1
N07-008,2025-05-03,18:30,Cylinder-Main,Encoder signal lost on servo axis,D. Mehta,7.9,Closed,Preventive maintenance scheduled,Night,Spiral-Mill-1,Spiral-Mill-1
N07-009,2025-05-30,23:15,Cylinder-Main,Control panel display blank,R. Sharma,7.0,Closed,Spare part ordered — pending,Night,Spiral-Mill-1,Spiral-Mill-1
N07-010,2025-05-06,20:45,Gearbox,Torch height error — cutting machine,V. Joshi,7.2,Closed,Temporary fix applied,Night,Spiral-Mill-1,Spiral-Mill-1
N07-011,2025-05-16,23:45,Conveyor-Drive,Encoder signal lost on servo axis,K. Yadav,6.5,Closed,Spare part ordered — pending,Night,Spiral-Mill-1,Spiral-Mill-1
N07-012,2025-05-18,22:15,Cylinder-Main,Limit switch failure — door interlock,P. Gupta,1.1,Closed,Preventive maintenance scheduled,Night,Spiral-Mill-1,Spiral-Mill-1
D08-001,2025-05-17,12:15,PLC-Panel,Control panel display blank,V. Joshi,0.8,Open,Escalated to OEM,Day,Spiral-Mill-2,Spiral-Mill-2
D08-002,2025-05-12,12:30,Motor-A,Conveyor belt slip / misalignment,D. Mehta,3.2,Open,Temporary fix applied,Day,Spiral-Mill-2,Spiral-Mill-2
D08-003,2025-05-31,08:45,Motor-A,Pneumatic pressure drop in actuator,P. Gupta,2.3,Closed,Escalated to OEM,Day,Spiral-Mill-2,Spiral-Mill-2
D08-004,2025-05-19,06:15,PLC-Panel,Control panel display blank,S. Kumar,3.8,Closed,Temporary fix applied,Day,Spiral-Mill-2,Spiral-Mill-2
D08-005,2025-05-15,11:45,Conveyor-Drive,Chain elongation on drive chain,K. Yadav,2.4,Closed,Temporary fix applied,Day,Spiral-Mill-2,Spiral-Mill-2
D08-006,2025-05-16,14:45,Motor-B,Vibration high on spindle motor,K. Yadav,5.8,Closed,Preventive maintenance scheduled,Day,Spiral-Mill-2,Spiral-Mill-2
D08-007,2025-05-09,13:15,Motor-B,Pneumatic pressure drop in actuator,P. Gupta,3.9,Open,,Day,Spiral-Mill-2,Spiral-Mill-2
D08-008,2025-05-29,11:30,Motor-B,Air compressor pressure low,B. Reddy,2.7,Closed,Temporary fix applied,Day,Spiral-Mill-2,Spiral-Mill-2
D08-009,2025-05-09,08:30,Pump-2,PLC fault code F-204 — sensor error,A. Patel,6.4,Closed,,Day,Spiral-Mill-2,Spiral-Mill-2
D08-010,2025-05-31,11:30,PLC-Panel,Air compressor pressure low,M. Singh,5.1,Closed,Preventive maintenance scheduled,Day,Spiral-Mill-2,Spiral-Mill-2
D08-011,2025-05-19,13:45,Gearbox,Water leakage in cooling system,P. Gupta,1.4,Closed,Spare part ordered — pending,Day,Spiral-Mill-2,Spiral-Mill-2
D08-012,2025-05-17,13:30,Pump-1,Coating thickness alarm,B. Reddy,5.3,Closed,Temporary fix applied,Day,Spiral-Mill-2,Spiral-Mill-2
D08-013,2025-05-18,14:00,Motor-B,Encoder signal lost on servo axis,M. Singh,2.8,Closed,Root cause: wear and tear,Day,Spiral-Mill-2,Spiral-Mill-2
D08-014,2025-05-20,14:30,Motor-B,Vibration high on spindle motor,A. Patel,5.3,Closed,Temporary fix applied,Day,Spiral-Mill-2,Spiral-Mill-2
D08-015,2025-05-11,10:00,Pump-1,Water leakage in cooling system,N. Das,1.7,Closed,Escalated to OEM,Day,Spiral-Mill-2,Spiral-Mill-2
N08-001,2025-05-05,22:00,Motor-A,Conveyor belt slip / misalignment,R. Sharma,7.6,Open,Preventive maintenance scheduled,Night,Spiral-Mill-2,Spiral-Mill-2
N08-002,2025-05-11,19:45,Motor-A,Drive belt worn — replacement needed,B. Reddy,2.7,Open,,Night,Spiral-Mill-2,Spiral-Mill-2
N08-003,2025-05-24,23:45,Cylinder-Main,Hydraulic valve stuck open,P. Gupta,5.7,Closed,Resolved by operator adjustment,Night,Spiral-Mill-2,Spiral-Mill-2
N08-004,2025-05-16,21:15,Conveyor-Drive,Lubrication system fault — low level,M. Singh,2.8,Closed,Escalated to OEM,Night,Spiral-Mill-2,Spiral-Mill-2
N08-005,2025-05-19,19:30,Motor-B,Limit switch failure — door interlock,A. Patel,4.0,Closed,Root cause: wear and tear,Night,Spiral-Mill-2,Spiral-Mill-2
N08-006,2025-05-27,18:00,Cylinder-Main,Emergency stop triggered — unknown cause,N. Das,3.6,Open,Temporary fix applied,Night,Spiral-Mill-2,Spiral-Mill-2
N08-007,2025-05-05,20:30,Pump-2,Coating thickness alarm,M. Singh,4.2,Closed,,Night,Spiral-Mill-2,Spiral-Mill-2
N08-008,2025-05-03,20:45,Motor-A,Conveyor belt slip / misalignment,D. Mehta,4.3,Open,Root cause: wear and tear,Night,Spiral-Mill-2,Spiral-Mill-2
N08-009,2025-05-13,20:00,Motor-A,Oil contamination in gearbox,V. Joshi,5.0,Open,,Night,Spiral-Mill-2,Spiral-Mill-2
N08-010,2025-05-22,22:00,Motor-B,Pipe OD out of spec — forming issue,M. Singh,7.1,Closed,Resolved by operator adjustment,Night,Spiral-Mill-2,Spiral-Mill-2
N08-011,2025-05-20,18:45,Motor-A,Water leakage in cooling system,B. Reddy,2.0,Closed,Spare part ordered — pending,Night,Spiral-Mill-2,Spiral-Mill-2
N08-012,2025-05-19,22:45,Cylinder-Main,Lubrication system fault — low level,N. Das,1.4,Open,Resolved by operator adjustment,Night,Spiral-Mill-2,Spiral-Mill-2
D09-001,2025-05-20,11:30,Pump-1,Weld seam out of tolerance,N. Das,4.3,Closed,Repaired and tested OK,Day,Forming-Mill,Forming-Mill
D09-002,2025-05-30,08:30,PLC-Panel,Encoder signal lost on servo axis,V. Joshi,1.6,Open,Temporary fix applied,Day,Forming-Mill,Forming-Mill
D09-003,2025-05-21,11:15,Gearbox,Lubrication system fault — low level,K. Yadav,5.0,Closed,,Day,Forming-Mill,Forming-Mill
D09-004,2025-05-09,10:45,Motor-A,Control panel display blank,S. Kumar,5.6,Open,Preventive maintenance scheduled,Day,Forming-Mill,Forming-Mill
D09-005,2025-05-06,06:45,Cylinder-Main,Chain elongation on drive chain,N. Das,4.8,Closed,,Day,Forming-Mill,Forming-Mill
D09-006,2025-05-26,14:45,Pump-1,Gear coupling worn — noise detected,A. Patel,0.7,Open,Spare part ordered — pending,Day,Forming-Mill,Forming-Mill
D09-007,2025-05-25,06:45,Conveyor-Drive,Pipe OD out of spec — forming issue,M. Singh,3.6,Closed,,Day,Forming-Mill,Forming-Mill
D09-008,2025-05-04,06:15,Pump-2,Air compressor pressure low,S. Kumar,8.0,Closed,Resolved by operator adjustment,Day,Forming-Mill,Forming-Mill
D09-009,2025-05-21,08:45,Conveyor-Drive,Air compressor pressure low,S. Kumar,5.6,Open,Preventive maintenance scheduled,Day,Forming-Mill,Forming-Mill
D09-010,2025-05-12,13:15,Pump-2,Vibration high on spindle motor,B. Reddy,2.7,Open,Preventive maintenance scheduled,Day,Forming-Mill,Forming-Mill
D09-011,2025-05-07,10:15,PLC-Panel,Limit switch failure — door interlock,V. Joshi,3.1,Open,Preventive maintenance scheduled,Day,Forming-Mill,Forming-Mill
D09-012,2025-05-22,07:45,Gearbox,Control panel display blank,M. Singh,2.7,Closed,Spare part ordered — pending,Day,Forming-Mill,Forming-Mill
D09-013,2025-05-20,13:30,PLC-Panel,Weld seam out of tolerance,A. Patel,6.7,Closed,Preventive maintenance scheduled,Day,Forming-Mill,Forming-Mill
D09-014,2025-05-27,07:15,Pump-2,Motor overheating — bearing failure,B. Reddy,2.2,Closed,Spare part ordered — pending,Day,Forming-Mill,Forming-Mill
D09-015,2025-05-18,11:45,Motor-B,Gear coupling worn — noise detected,M. Singh,0.5,Closed,Temporary fix applied,Day,Forming-Mill,Forming-Mill
N09-001,2025-05-18,23:45,PLC-Panel,Chain elongation on drive chain,A. Patel,6.2,Closed,Preventive maintenance scheduled,Night,Forming-Mill,Forming-Mill
N09-002,2025-05-11,18:00,Pump-2,Air compressor pressure low,R. Sharma,7.3,Closed,Temporary fix applied,Night,Forming-Mill,Forming-Mill
N09-003,2025-05-02,18:45,PLC-Panel,Coolant pump not starting,K. Yadav,7.1,Closed,Spare part ordered — pending,Night,Forming-Mill,Forming-Mill
N09-004,2025-05-02,20:30,PLC-Panel,Chain elongation on drive chain,B. Reddy,4.4,Open,Temporary fix applied,Night,Forming-Mill,Forming-Mill
N09-005,2025-05-04,22:45,Cylinder-Main,Weld seam out of tolerance,P. Gupta,3.0,Closed,Preventive maintenance scheduled,Night,Forming-Mill,Forming-Mill
N09-006,2025-05-09,19:00,Conveyor-Drive,Oil contamination in gearbox,N. Das,5.6,Closed,Resolved by operator adjustment,Night,Forming-Mill,Forming-Mill
N09-007,2025-05-05,21:30,Motor-B,Emergency stop triggered — unknown cause,P. Gupta,1.9,Closed,Escalated to OEM,Night,Forming-Mill,Forming-Mill
N09-008,2025-05-02,19:00,Cylinder-Main,Emergency stop triggered — unknown cause,A. Patel,3.9,Closed,Escalated to OEM,Night,Forming-Mill,Forming-Mill
N09-009,2025-05-22,22:00,Cylinder-Main,Chain elongation on drive chain,S. Kumar,5.7,Closed,Spare part ordered — pending,Night,Forming-Mill,Forming-Mill
N09-010,2025-05-17,20:15,Gearbox,Gear coupling worn — noise detected,B. Reddy,7.4,Open,Preventive maintenance scheduled,Night,Forming-Mill,Forming-Mill
N09-011,2025-05-09,18:30,Conveyor-Drive,Lubrication system fault — low level,A. Patel,2.1,Closed,Temporary fix applied,Night,Forming-Mill,Forming-Mill
N09-012,2025-05-17,23:30,Gearbox,Electrical trip — overload relay,B. Reddy,7.3,Open,Root cause: wear and tear,Night,Forming-Mill,Forming-Mill
D10-001,2025-05-07,09:00,PLC-Panel,Encoder signal lost on servo axis,S. Kumar,1.1,Closed,Repaired and tested OK,Day,Sizing-Mill,Sizing-Mill
D10-002,2025-05-05,14:15,Pump-1,Coolant pump not starting,S. Kumar,6.9,Closed,Root cause: wear and tear,Day,Sizing-Mill,Sizing-Mill
D10-003,2025-05-09,13:00,PLC-Panel,Motor overheating — bearing failure,V. Joshi,1.5,Closed,Repaired and tested OK,Day,Sizing-Mill,Sizing-Mill
D10-004,2025-05-14,13:30,Motor-A,Emergency stop triggered — unknown cause,K. Yadav,6.6,Closed,Spare part ordered — pending,Day,Sizing-Mill,Sizing-Mill
D10-005,2025-05-30,12:30,Motor-B,Air compressor pressure low,R. Sharma,7.5,Closed,,Day,Sizing-Mill,Sizing-Mill
D10-006,2025-05-30,10:45,Pump-1,Coating thickness alarm,M. Singh,6.2,Open,Resolved by operator adjustment,Day,Sizing-Mill,Sizing-Mill
D10-007,2025-05-20,12:45,Gearbox,Emergency stop triggered — unknown cause,P. Gupta,5.6,Closed,Temporary fix applied,Day,Sizing-Mill,Sizing-Mill
D10-008,2025-05-11,11:00,Pump-1,Air compressor pressure low,D. Mehta,4.5,Closed,Root cause: wear and tear,Day,Sizing-Mill,Sizing-Mill
D10-009,2025-05-05,06:00,Cylinder-Main,Hydraulic valve stuck open,B. Reddy,3.7,Closed,Root cause: wear and tear,Day,Sizing-Mill,Sizing-Mill
D10-010,2025-05-24,13:30,Pump-1,Vibration high on spindle motor,A. Patel,7.5,Closed,Spare part ordered — pending,Day,Sizing-Mill,Sizing-Mill
D10-011,2025-05-30,12:00,Pump-2,Weld seam out of tolerance,P. Gupta,1.3,Closed,Repaired and tested OK,Day,Sizing-Mill,Sizing-Mill
D10-012,2025-05-24,06:45,PLC-Panel,Strip break at forming section,B. Reddy,2.1,Open,Repaired and tested OK,Day,Sizing-Mill,Sizing-Mill
D10-013,2025-05-27,14:30,Pump-2,Torch height error — cutting machine,N. Das,2.9,Closed,Escalated to OEM,Day,Sizing-Mill,Sizing-Mill
D10-014,2025-05-24,10:15,Pump-2,Pipe OD out of spec — forming issue,K. Yadav,2.6,Closed,Temporary fix applied,Day,Sizing-Mill,Sizing-Mill
D10-015,2025-05-11,12:45,Motor-A,Control panel display blank,D. Mehta,6.4,Closed,Resolved by operator adjustment,Day,Sizing-Mill,Sizing-Mill
N10-001,2025-05-18,19:30,Gearbox,Coolant pump not starting,B. Reddy,4.1,Open,Preventive maintenance scheduled,Night,Sizing-Mill,Sizing-Mill
N10-002,2025-05-04,23:15,PLC-Panel,Motor overheating — bearing failure,B. Reddy,3.6,Closed,Temporary fix applied,Night,Sizing-Mill,Sizing-Mill
N10-003,2025-05-19,19:30,Pump-2,Limit switch failure — door interlock,P. Gupta,7.4,Open,Spare part ordered — pending,Night,Sizing-Mill,Sizing-Mill
N10-004,2025-05-14,23:15,Motor-A,Vibration high on spindle motor,D. Mehta,5.6,Closed,Spare part ordered — pending,Night,Sizing-Mill,Sizing-Mill
N10-005,2025-05-25,22:15,PLC-Panel,Weld seam out of tolerance,S. Kumar,2.8,Open,Root cause: wear and tear,Night,Sizing-Mill,Sizing-Mill
N10-006,2025-05-02,19:00,PLC-Panel,Strip break at forming section,N. Das,5.8,Closed,Root cause: wear and tear,Night,Sizing-Mill,Sizing-Mill
N10-007,2025-05-14,20:30,Gearbox,Hydraulic valve stuck open,B. Reddy,5.4,Closed,Escalated to OEM,Night,Sizing-Mill,Sizing-Mill
N10-008,2025-05-15,21:45,Motor-B,Torch height error — cutting machine,V. Joshi,6.2,Closed,Root cause: wear and tear,Night,Sizing-Mill,Sizing-Mill
N10-009,2025-05-20,20:45,Motor-A,Water leakage in cooling system,A. Patel,6.1,Closed,Resolved by operator adjustment,Night,Sizing-Mill,Sizing-Mill
N10-010,2025-05-22,19:15,Conveyor-Drive,Strip break at forming section,D. Mehta,4.8,Closed,Escalated to OEM,Night,Sizing-Mill,Sizing-Mill
N10-011,2025-05-23,21:45,PLC-Panel,Coolant pump not starting,S. Kumar,1.8,Closed,,Night,Sizing-Mill,Sizing-Mill
N10-012,2025-05-26,22:00,Motor-A,Conveyor belt slip / misalignment,R. Sharma,6.2,Closed,Root cause: wear and tear,Night,Sizing-Mill,Sizing-Mill
D11-001,2025-05-29,08:00,Pump-2,Encoder signal lost on servo axis,V. Joshi,3.3,Closed,,Day,Straightener,Straightener
D11-002,2025-05-10,13:00,Motor-A,Air compressor pressure low,B. Reddy,3.6,Closed,Preventive maintenance scheduled,Day,Straightener,Straightener
D11-003,2025-05-14,10:00,Gearbox,Coolant pump not starting,P. Gupta,7.4,Closed,Root cause: wear and tear,Day,Straightener,Straightener
D11-004,2025-05-25,14:30,Conveyor-Drive,Vibration high on spindle motor,D. Mehta,1.1,Open,,Day,Straightener,Straightener
D11-005,2025-05-13,09:15,Cylinder-Main,Gear coupling worn — noise detected,P. Gupta,5.4,Open,Repaired and tested OK,Day,Straightener,Straightener
D11-006,2025-05-29,12:45,Gearbox,Air compressor pressure low,V. Joshi,0.9,Closed,Temporary fix applied,Day,Straightener,Straightener
D11-007,2025-05-29,13:45,Conveyor-Drive,Water leakage in cooling system,P. Gupta,7.2,Open,Root cause: wear and tear,Day,Straightener,Straightener
D11-008,2025-05-25,13:30,Motor-A,Conveyor belt slip / misalignment,K. Yadav,7.2,Closed,Repaired and tested OK,Day,Straightener,Straightener
D11-009,2025-05-26,11:00,Pump-2,Water leakage in cooling system,M. Singh,6.1,Closed,Resolved by operator adjustment,Day,Straightener,Straightener
D11-010,2025-05-02,07:30,Pump-1,Water leakage in cooling system,A. Patel,4.8,Open,Escalated to OEM,Day,Straightener,Straightener
D11-011,2025-05-19,08:00,Conveyor-Drive,Motor overheating — bearing failure,P. Gupta,3.8,Open,Escalated to OEM,Day,Straightener,Straightener
D11-012,2025-05-12,12:30,Motor-A,Chain elongation on drive chain,K. Yadav,6.4,Closed,Root cause: wear and tear,Day,Straightener,Straightener
D11-013,2025-05-20,14:45,Gearbox,Coolant pump not starting,N. Das,5.5,Closed,Preventive maintenance scheduled,Day,Straightener,Straightener
D11-014,2025-05-06,09:00,Motor-B,Vibration high on spindle motor,M. Singh,3.3,Open,Temporary fix applied,Day,Straightener,Straightener
D11-015,2025-05-08,12:30,Conveyor-Drive,PLC fault code F-204 — sensor error,P. Gupta,0.5,Closed,Escalated to OEM,Day,Straightener,Straightener
N11-001,2025-05-07,20:00,Pump-1,Conveyor belt slip / misalignment,M. Singh,3.7,Closed,Resolved by operator adjustment,Night,Straightener,Straightener
N11-002,2025-05-28,18:00,Conveyor-Drive,Air compressor pressure low,P. Gupta,5.0,Open,Resolved by operator adjustment,Night,Straightener,Straightener
N11-003,2025-05-31,20:45,Gearbox,Coating thickness alarm,P. Gupta,5.9,Closed,Root cause: wear and tear,Night,Straightener,Straightener
N11-004,2025-05-13,22:15,Gearbox,Coolant pump not starting,M. Singh,2.5,Closed,Temporary fix applied,Night,Straightener,Straightener
N11-005,2025-05-29,19:45,Cylinder-Main,Pipe OD out of spec — forming issue,K. Yadav,4.1,Closed,Preventive maintenance scheduled,Night,Straightener,Straightener
N11-006,2025-05-24,23:45,Pump-2,Hydraulic valve stuck open,P. Gupta,1.5,Closed,Resolved by operator adjustment,Night,Straightener,Straightener
N11-007,2025-05-21,22:45,Conveyor-Drive,Hydraulic valve stuck open,S. Kumar,3.7,Open,Temporary fix applied,Night,Straightener,Straightener
N11-008,2025-05-22,20:15,PLC-Panel,Limit switch failure — door interlock,M. Singh,7.7,Open,Preventive maintenance scheduled,Night,Straightener,Straightener
N11-009,2025-05-08,23:45,Pump-2,Limit switch failure — door interlock,D. Mehta,2.6,Open,Escalated to OEM,Night,Straightener,Straightener
N11-010,2025-05-28,22:15,Pump-1,Gear coupling worn — noise detected,B. Reddy,0.7,Closed,Root cause: wear and tear,Night,Straightener,Straightener
N11-011,2025-05-17,20:00,Gearbox,Gear coupling worn — noise detected,V. Joshi,1.5,Closed,Preventive maintenance scheduled,Night,Straightener,Straightener
N11-012,2025-05-10,19:45,Gearbox,Conveyor belt slip / misalignment,V. Joshi,7.9,Closed,Resolved by operator adjustment,Night,Straightener,Straightener
D12-001,2025-05-14,14:45,Motor-A,Control panel display blank,B. Reddy,5.0,Open,Spare part ordered — pending,Day,Hydro-Test-1,Hydro-Test-1
D12-002,2025-05-07,09:30,Pump-1,Chain elongation on drive chain,N. Das,0.8,Open,Resolved by operator adjustment,Day,Hydro-Test-1,Hydro-Test-1
D12-003,2025-05-07,11:45,Motor-B,Hydraulic leak in main cylinder,P. Gupta,2.4,Closed,Root cause: wear and tear,Day,Hydro-Test-1,Hydro-Test-1
D12-004,2025-05-17,11:45,PLC-Panel,Coating thickness alarm,N. Das,5.7,Closed,Repaired and tested OK,Day,Hydro-Test-1,Hydro-Test-1
D12-005,2025-05-16,07:30,Gearbox,Conveyor belt slip / misalignment,P. Gupta,6.7,Closed,Escalated to OEM,Day,Hydro-Test-1,Hydro-Test-1
D12-006,2025-05-22,11:45,Pump-2,Encoder signal lost on servo axis,V. Joshi,3.1,Closed,,Day,Hydro-Test-1,Hydro-Test-1
D12-007,2025-05-21,07:30,Motor-A,Electrical trip — overload relay,P. Gupta,0.7,Closed,Spare part ordered — pending,Day,Hydro-Test-1,Hydro-Test-1
D12-008,2025-05-10,08:15,Pump-1,Air compressor pressure low,M. Singh,3.0,Closed,,Day,Hydro-Test-1,Hydro-Test-1
D12-009,2025-05-24,12:15,Pump-1,Chain elongation on drive chain,D. Mehta,3.5,Closed,Root cause: wear and tear,Day,Hydro-Test-1,Hydro-Test-1
D12-010,2025-05-17,12:45,Motor-A,Electrical trip — overload relay,A. Patel,2.0,Open,Spare part ordered — pending,Day,Hydro-Test-1,Hydro-Test-1
D12-011,2025-05-13,07:15,Conveyor-Drive,Limit switch failure — door interlock,A. Patel,3.9,Closed,,Day,Hydro-Test-1,Hydro-Test-1
D12-012,2025-05-15,11:45,Gearbox,Water leakage in cooling system,P. Gupta,3.1,Open,Temporary fix applied,Day,Hydro-Test-1,Hydro-Test-1
D12-013,2025-05-05,10:00,Pump-1,Limit switch failure — door interlock,P. Gupta,2.3,Closed,Escalated to OEM,Day,Hydro-Test-1,Hydro-Test-1
D12-014,2025-05-09,08:45,Gearbox,Lubrication system fault — low level,M. Singh,4.8,Closed,,Day,Hydro-Test-1,Hydro-Test-1
D12-015,2025-05-11,14:15,Pump-1,Drive belt worn — replacement needed,K. Yadav,1.6,Closed,,Day,Hydro-Test-1,Hydro-Test-1
N12-001,2025-05-12,18:30,Motor-A,Drive belt worn — replacement needed,M. Singh,2.0,Closed,,Night,Hydro-Test-1,Hydro-Test-1
N12-002,2025-05-18,23:45,Gearbox,Electrical trip — overload relay,V. Joshi,4.2,Closed,Repaired and tested OK,Night,Hydro-Test-1,Hydro-Test-1
N12-003,2025-05-06,19:30,Motor-A,Vibration high on spindle motor,A. Patel,4.5,Closed,,Night,Hydro-Test-1,Hydro-Test-1
N12-004,2025-05-13,23:45,Motor-B,Water leakage in cooling system,P. Gupta,2.5,Closed,Escalated to OEM,Night,Hydro-Test-1,Hydro-Test-1
N12-005,2025-05-14,18:45,Pump-2,Pipe OD out of spec — forming issue,P. Gupta,6.0,Closed,Root cause: wear and tear,Night,Hydro-Test-1,Hydro-Test-1
N12-006,2025-05-22,18:45,Cylinder-Main,Control panel display blank,P. Gupta,3.8,Open,Root cause: wear and tear,Night,Hydro-Test-1,Hydro-Test-1
N12-007,2025-05-25,23:30,Gearbox,Coolant pump not starting,N. Das,1.5,Closed,Root cause: wear and tear,Night,Hydro-Test-1,Hydro-Test-1
N12-008,2025-05-06,18:30,Cylinder-Main,Lubrication system fault — low level,B. Reddy,1.8,Open,Preventive maintenance scheduled,Night,Hydro-Test-1,Hydro-Test-1
N12-009,2025-05-22,22:30,Motor-B,Pneumatic pressure drop in actuator,D. Mehta,7.4,Open,Temporary fix applied,Night,Hydro-Test-1,Hydro-Test-1
N12-010,2025-05-09,19:15,Pump-1,Electrical trip — overload relay,S. Kumar,6.7,Open,Resolved by operator adjustment,Night,Hydro-Test-1,Hydro-Test-1
N12-011,2025-05-16,19:30,Gearbox,Emergency stop triggered — unknown cause,V. Joshi,1.1,Open,Spare part ordered — pending,Night,Hydro-Test-1,Hydro-Test-1
N12-012,2025-05-19,22:30,Conveyor-Drive,Hydraulic valve stuck open,V. Joshi,3.0,Closed,Spare part ordered — pending,Night,Hydro-Test-1,Hydro-Test-1
D13-001,2025-05-08,13:30,Motor-B,Air compressor pressure low,D. Mehta,2.1,Closed,Root cause: wear and tear,Day,Hydro-Test-2,Hydro-Test-2
D13-002,2025-05-16,10:30,Cylinder-Main,Limit switch failure — door interlock,B. Reddy,4.8,Closed,,Day,Hydro-Test-2,Hydro-Test-2
D13-003,2025-05-06,11:00,Motor-A,PLC fault code F-204 — sensor error,V. Joshi,0.6,Open,Temporary fix applied,Day,Hydro-Test-2,Hydro-Test-2
D13-004,2025-05-17,13:00,Gearbox,Weld seam out of tolerance,M. Singh,7.1,Closed,Preventive maintenance scheduled,Day,Hydro-Test-2,Hydro-Test-2
D13-005,2025-05-29,11:30,Motor-B,Control panel display blank,M. Singh,0.9,Closed,Root cause: wear and tear,Day,Hydro-Test-2,Hydro-Test-2
D13-006,2025-05-18,07:00,Motor-A,Weld seam out of tolerance,V. Joshi,1.1,Closed,,Day,Hydro-Test-2,Hydro-Test-2
D13-007,2025-05-31,06:30,Motor-B,Pipe OD out of spec — forming issue,M. Singh,4.1,Closed,Spare part ordered — pending,Day,Hydro-Test-2,Hydro-Test-2
D13-008,2025-05-08,07:00,Conveyor-Drive,Control panel display blank,K. Yadav,1.5,Open,Temporary fix applied,Day,Hydro-Test-2,Hydro-Test-2
D13-009,2025-05-11,08:00,Motor-A,Lubrication system fault — low level,M. Singh,3.8,Closed,Temporary fix applied,Day,Hydro-Test-2,Hydro-Test-2
D13-010,2025-05-02,12:45,Pump-2,Conveyor belt slip / misalignment,P. Gupta,1.6,Closed,Resolved by operator adjustment,Day,Hydro-Test-2,Hydro-Test-2
D13-011,2025-05-20,12:30,Pump-1,Strip break at forming section,K. Yadav,5.3,Closed,Preventive maintenance scheduled,Day,Hydro-Test-2,Hydro-Test-2
D13-012,2025-05-07,06:30,Pump-2,Encoder signal lost on servo axis,N. Das,4.3,Closed,Preventive maintenance scheduled,Day,Hydro-Test-2,Hydro-Test-2
D13-013,2025-05-11,06:15,PLC-Panel,Emergency stop triggered — unknown cause,P. Gupta,2.3,Closed,Spare part ordered — pending,Day,Hydro-Test-2,Hydro-Test-2
D13-014,2025-05-15,06:30,Conveyor-Drive,Pneumatic pressure drop in actuator,D. Mehta,7.0,Closed,Escalated to OEM,Day,Hydro-Test-2,Hydro-Test-2
D13-015,2025-05-14,08:45,Motor-B,Hydraulic leak in main cylinder,N. Das,1.0,Closed,Repaired and tested OK,Day,Hydro-Test-2,Hydro-Test-2
N13-001,2025-05-02,18:45,Cylinder-Main,Chain elongation on drive chain,B. Reddy,6.3,Closed,Resolved by operator adjustment,Night,Hydro-Test-2,Hydro-Test-2
N13-002,2025-05-29,23:15,Cylinder-Main,Conveyor belt slip / misalignment,K. Yadav,1.1,Open,Temporary fix applied,Night,Hydro-Test-2,Hydro-Test-2
N13-003,2025-05-14,20:45,Motor-B,Oil contamination in gearbox,D. Mehta,6.0,Open,Repaired and tested OK,Night,Hydro-Test-2,Hydro-Test-2
N13-004,2025-05-24,18:45,Motor-B,Hydraulic valve stuck open,N. Das,5.1,Closed,Temporary fix applied,Night,Hydro-Test-2,Hydro-Test-2
N13-005,2025-05-28,18:15,Motor-A,Coolant pump not starting,V. Joshi,7.6,Closed,Preventive maintenance scheduled,Night,Hydro-Test-2,Hydro-Test-2
N13-006,2025-05-26,20:15,Cylinder-Main,Torch height error — cutting machine,P. Gupta,6.3,Closed,Resolved by operator adjustment,Night,Hydro-Test-2,Hydro-Test-2
N13-007,2025-05-23,22:00,Cylinder-Main,Electrical trip — overload relay,N. Das,5.2,Closed,Escalated to OEM,Night,Hydro-Test-2,Hydro-Test-2
N13-008,2025-05-30,21:15,Conveyor-Drive,Coolant pump not starting,K. Yadav,6.3,Open,Spare part ordered — pending,Night,Hydro-Test-2,Hydro-Test-2
N13-009,2025-05-24,23:00,Motor-A,Hydraulic leak in main cylinder,A. Patel,0.8,Closed,Temporary fix applied,Night,Hydro-Test-2,Hydro-Test-2
